,분기,행정동_코드_명,업종,연령대_10_매출_금액,연령대_20_매출_금액,연령대_10_매출_건수,연령대_20_매출_건수
5978,1,면목2동,애완동물,0,3477753,0,94
5979,1,면목3·8동,미용실,2063353,62394909,162,2093
5980,1,면목4동,한의원,0,11806146,0,399
5981,1,면목3·8동,스포츠 강습,1277683,47715172,8,157
5982,1,면목3·8동,수산물판매,258312,1336345,17,87
5983,1,면목4동,커피-음료,986767,33533078,186,4529
5984,1,면목4동,미곡판매,0,0,0,0
5985,1,면목4동,중식음식점,593879,3737746,39,248
5986,1,면목5동,철물점,43175,172702,29,29
5987,1,면목5동,여관,275977,8817462,7,214
5988,1,면목5동,스포츠 강습,0,0,0,0
5989,1,면목7동,일반의류,119950,18255353,6,563
5990,1,면목7동,치과의원,0,112991866,0,1282
5991,1,면목7동,네일숍,154072,3836389,15,61
5992,1,면목본동,서적,0,0,0,0
5993,1,면목본동,네일숍,0,18916916,0,275
5994,1,묵1동,세탁소,188451,263831,38,37
5995,1,묵1동,한식음식점,18056781,627246254,876,19834
5996,1,묵1동,화초,258619,2622416,13,136
5997,1,묵2동,의약품,1647923,121571937,162,9856
5998,1,묵2동,세탁소,0,3057377,0,240
5999,1,묵2동,미곡판매,0,122685,0,25
6000,1,상봉1동,커피-음료,7342772,100719095,1367,16436
6001,1,신내1동,자동차수리,0,18788174,0,110
6002,1,상봉2동,노래방,244356,58988936,20,1764
